marca_descripcion,marca_id
GEMPLUS,4775
GENERAL ELECTRIC,2179
GENERAL INSTRUMENT,2184
GENERICA,2186
GENERO,2188
GENESIS,2189
GENIUS,2191
GENIUS VIVID,2193
GENOVA,2194
GENOVATION,2196
GEN-PRO,2168
GERALD,2199
GERCOR,2200
GERMANY,2201
GERMINATOR,2202
GERMITRON,2203
GESAMEX,2204
GESTETNER,2210
GHIBLI,989
GIBER,2217
GIBSON,2218
GILBERT,2219
GILBERT COPELAND,2220
GILLETE,2221
GILLETTE,2222
GIMEX26C,2223
GIMSA,2224
GITZA,2225
GKRM,2226
GL MARKETING,2227
GLACIAL,2228
GLADO,2229
GLOBAL UPHOLSTERY,2230
GLOBEL,2231
GLORIA,2232
GMC,2233
GOIT,2234
GOLBERT,2235
GOLD-FISH,2237
GOLDPOT,2239
GOLDSTAR,2240
GOMEDI,2242
GON,2243
GONCEP,2244
GONI,2245
GONSEP,2246
GOODMAN,2247
GOOLAY,2248
GORDON,2249
GOSSEN,2250
GOULDS,2251
"GOY, S.A.",2253
GR,2255
GRACO,2256
GRADIENTE,2257
GRAFITO,2258
GRAFITO-L,2259
GRAINMAN,2260
GRALAB,2270
GRANDSTREAM,2271
GRC,2273
GREAT BEAR,2274
GREENFIELD,2275
GRIBALL,2276
GRIMER,2277
GRIMSON,2278
GRUNDFOS,2281
GRUPO AZOR,2279
GRUPO JOME,3032
GSPAM,2282
GTE,2283
GUADALAJARA,2285
GUARANI,2288
GUARANY,2289
GUARDIAN,2290
GUILBERT,2291
GUILLET TE,2292
GULLOCH,2293
GUMA S.A,2294
GUMES,2295
GUPTA,2296
GURLEY,2297
GUSTAFFSON,2298
GUTHENBER,2299
GUTMSA,2300
GYRO,2302
H. STEELE,2319
H.G.,2335
H.H,2336
H.THOMAS,2369
H.TOMAS,2370
H/THOMAS,2371
H-82,2315
HAAN,2372
HACH,2376
HAFF,2381
HAGUS,2382
HAHACE,2383
HAKURA,2384
HAL AUTRIAL,2385
HALBROSS,2386
HALCON,2387
HALDA,2388
HALOGEN,2389
HALON,2390
HAMA,2391
HAMILTON,2392
HAMMA,2394
HAMMEX,2395
HAMPTON BAY,2
HANA,2396
HANHANR,2397
HANHART,2398
HANIMEX,2399
HANNA INSTRUMENTS,2400
HANNIMEX,2402
HANSA,2403
HANSON,2404
HANSTAI,2405
HAPSUTA,2406
HARCOS,2407
HARPER,2410
HARRIS,2411
HARRYS,2412
HARRYS EAR,2413
HARVARD GRAPHICS,2415
HARVERSTER,2416
HARVESTER,2417
HAS,2418
HASET MATE,2419
HASS,2421
HASTE,2422
HASTSUKA,2423
HATCH,2424
HATH,2425
HATSUTA,2426
HAUS,2427
HAYES,2428
HAYES ACURA,2429
HAYESULTRA,2430
HAYWARD,8
HB-METER,2431
HC-300,2432
HD-BREAN,2434
HEARTHGLO,2435
HEARTHWARE,2436
HEAT,2437
HECDEL,2438
HECORT,2441
HEDMAN,2442
HEGGER,2444
HEIL QUAKER,2445
HEIWA,2446
HELBEN,2447
HELIO DIETZGEN,2448
HELIOMATIC,2449
HELIOS,2450
HELLIGE,2451
HEMATCK,2453
HEMA-TECK,2452
HEMLETT P.,2454
HERCORT,2455
HERCULES,2456
HERGOM,3
HERMAN MILLER,2457
HERMES,2458
HERNA,2459
HERRAM,2460
HERRARUS CRIST,2461
HERSYMAC,2462
HESA,2465
HESOLDT,2466
HETTICH,2467
HETTLER,2469
HEUER,2471
HEVCATOV,2470
HEWLETT-PACKARD,2498
HEYER,2519
HF,2520
HGE,2521
HH,2522
HI SERIES,2523
HI VGA,2524
HIAB,2527
HIAMEX,6611
HIBREK,2528
HIBREX,2529
HIDRO-TER,2531
HIGER,2532
HIGH POWER,2533
HIGH WALL,2534
HIGH-TECH,2535
HIGH-WALL,2536
HIGUCHI,2537
HIKVISION,6714
HILLA,2538
HILLE,2539
HILLER-INFRA,2540
HILLFORINF,2541
HILTON-ROY,2542
HIPLOT,2543
HIPRO,2544
HISENSE,6716
HI-SERIES,2526
HISTOCUT,2545
HIT,2546
HITACHI,2547
HITACON,2548
HITEWESTING,2549
HNS,2550
HOBART,2551
HOBER,2552
HOFFMAN,2554
HOFMAN,2555
HOH-INOOR,2556
HOLDER,2557
HOLLAND,2558
HOLLY,2559
HOLLYWOOD,2560
HOLMES,2561
HOMEDES RENQUIN I,2562
HOMELITE,2563
HON,2565
HONDA,2566
HONEYWELL,2572
HONNER,2573
HOOHNDCERE,2575
HOOVER,2576
HOPE,2577
HOPERLINKE,6684
HORCHOP,2578
HORIBA,2579
HORUS,2580
HOSKINS,2581
HOSLER,2582
HOUDAILLD,2583
HOWE,2585
HS/N,2648
HS-30-2,2647
HUANINE,2650
HUAWEI,6707
HUB,2651
HUB3COM,2653
HUBBELL,2654
HUBER,2655
HUCHIDA,2656
HUDSON,2657
HUGIN,2658
HUH2612,2659
HUMARK,2660
HUMBOLDT,91
HUMONICS,2661
HUNT ELECTRONIC,6654
HUQUARNA,2664
HUROA,2665
HURRIAC,2666
HURRICANE,2667
HUSQVARNA,2672
HUSTLAR,2673
HYBREX,2676
HYDRO/KIEN,2677
HYE,2678
HYPERMARK,6696
I  D  S,2680
I. ITALI,2688
I.A.,2690
I.G.A,2697
I.G.A.,2698
I.H.,2699
I.L,2700
I.ZARAGOZA,2701
IAMEX,2707
IANGA,2709
IASA,2710
IB.M.,2711
IBC,2712
IBERIA,2713
IBICO,2716
IBLAK DEKER,2718
IBM,2719
ICOM,2742
IDCNA,2743
IDE,2744
IDEAL,2745
IDEC,2746
IDEM,2747
IDEMAX,2748
IDERM,2750
IDERNA,2752
IDETEL,2753
IEC,2754
IEM,2755
IEM-DELUXE,2761
IEMEN,2763
IEM-WESTINHOUSE,2762
IFILINEA,2764
IFRAME,2765
IG,2766
IG.30 KVA,2767
IG112.5KVA,2768
IG75KVA,2769
"IGA, S.A.",2772
IGLOO PICN,2777
IGROSA,2778
IGSA,2779
IGSA-DC100,2780
IGSADS,2781
IHRSA,2782
IIR,2783
IISGUS,2784
IKEA,6637
IKELITE,2785
IKRESA,2786
ILEGIBLE,2787
ILSA,2788
ILVETTI,2789
IMA,2791
IMANSA,2792
IMB,2793
IMB THINK,2794
IMECA,2795
IMEISA,2796
IMEM,2797
IMEMSA,2798
IMET-ELEE,2801
IMI,2802
IMMSA,2803
IMPACTO,2804
IMPALA,2805
IMPALA JASS,2806
IMPASA,2807
IMPCO,2808
IMPECO,2809
IMPERIAL,2810
IMPERIO,2811
IMPICO,2812
IMSA,2813
IMSSA,2814
IM-STEEL,2790
IMY,2815
INBM,2818
INCA,2819
INCENTO,2820
IND. GMOMUR,2822
IND. GOMEDI,2823
IND. PLUS,2824
IND.CAMOSA,2827
